Arabic,English,Dutch
قارَبَ,"to approach, come close to something; to approximate something","naderen, dichtbij komen; iets benaderen"
اِستِئْناف,"resumption, renewal; (jur) appeal","hervatting, vernieuwing; (jur) beroep"
كُثْر,"abundance, large amount, great number; much, a lot; excessive amount","overvloed, grote hoeveelheid, groot aantal; veel, een hoop; buitensporige hoeveelheid"
غَسَلَ، يَغسِلُ، الغَسْل,"to wash, clean something","iets wassen, schoonmaken"
فُلان,so-and-so; such-and-such,zus en zo; die en die
ثَمَر، أثمار,"fruit; result, yield, outcome","vrucht; resultaat, opbrengst, uitkomst"
أصيل,"authentic, original; native, indigenous; pure, noble; full-blooded, purebred","authentiek, origineel; inheems, autochtoon; puur, nobel; volbloed, raszuiver"
تَغذية,"feeding, nutrition","voeding, voedingswaarde"
ضَمَّنَ,"to guarantee, insure","garanderen, verzekeren"
طَعْم,"flavor, taste","smaak, aroma"
مُتعة,"pleasure, enjoyment","plezier, genot"
مَجرىً، مَجرَيات,"course, path","cursus, pad"
مَجرَيات,"events, happenings","gebeurtenissen, voorvallen"
مَجرَيات الأحداث/الأُمور,the course of events,het verloop van de gebeurtenissen
عالَجَ,"to treat (disease, sick person); to deal with (topic, problem); to process (data)",Een ziekte behandelen (of een zieke persoon behandelen); een onderwerp of probleem aanpakken (of een probleem oplossen); gegevens verwerken (of een probleem oplossen)
مُعَلَّق,"suspended, hanging, pending, outstanding","opgeschort, in afwachting, nog niet uitstaand"
خُصوصيّ,"private, personal; special","privé, persoonlijk; speciaal"
صَوْتيّ,"audio, sound, acoustic; verbal, vocal; phonetic","audio, geluid, akoestisch; verbaal, vocaal; fonetisch"
اِستَعمَلَ,"to use, make use of, employ","gebruiken, benutten, inzetten"
مَشي,"walking, going","lopen, gaan"
فَخْر,pride; boasting,trots; opscheppen
صَلاحيّة,"suitability, viability; state of being valid or active (calling card, membership)","geschiktheid, levensvatbaarheid; de staat van geldigheid of activiteit (visitekaartje, lidmaatschap)"
صَلاحِيّات,"powers, privileges","bevoegdheden, privileges"
مُعتَبِر,"considering, regarding","gezien, betreffende"
مَحتَرِف,"professional, expert","professioneel, expert"
أدارَ,"to direct, manage something; to conduct something; to turn (one’s face or back); to turn on or off (radio, television, car switch); to turn (key or door knob); to make spin something","Iets leiden, besturen; iets uitvoeren; zich omdraaien (met het gezicht of de rug); de radio, televisie of autoschakelaar aan- of uitzetten; een sleutel of deurknop omdraaien; iets laten draaien"
اِشتَرَكَ,to participate (مع with somebody) في in something,deelnemen (مع met iemand) في in iets
تَطَرَّقَ,"to broach, discuss إلى (topic, issue); to reach, get as far as إلى something","een onderwerp aansnijden, bespreken; iets bereiken, zover komen als iets"
إخراج,"production; extraction; removal, ousting","productie; extractie; verwijdering, verdrijving"
سَماع,"hearing, listening","horen, luisteren"
مَدّ,"length, reach, extent; reaching, extending, lengthening; spreading","lengte, bereik, omvang; reiken, uitstrekken, verlengen; verspreiden"
رِفقة، رِفاق,"company, group","bedrijf, groep"
بِرِفقة,"accompanied by, along with","vergezeld door, samen met"
اِتَّسَعَ,"to expand, stretch, widen; to be sufficient, adequate ل for; to be large enough ل for","Uitbreiden, uitrekken, verbreden; voldoende, toereikend zijn voor; groot genoeg zijn voor"
سِتّ; سِتّات,"lady, miss","dame, juffrouw"
مَهارة; مَهارات,"capability, skill; ability, proficiency","bekwaamheid, vaardigheid; vermogen, bekwaamheid"
اِنتِهاك; اِنتِهاكات,"violation, contravention","overtreding, schending"
ذِئْب، ذِئاب,"wolf, jackal","wolf, jakhals"
جَلَبَ، يَجلِبُ، الجَلَب,"to bring, provide something; to bring about, cause something; to fetch, attract something","iets brengen, verschaffen; iets teweegbrengen, veroorzaken; iets halen, aantrekken"
تَسَلَّمَ,"to receive, accept something; to take on, assume (responsibility)","iets ontvangen, accepteren; verantwoordelijkheid op zich nemen, aanvaarden"
سَلَف,(colloquial) ancestors; advance (payment),(spreektaal) voorouders; vooruitbetaling
سَلَفاً,"in advance; beforehand, previously","van tevoren; vooraf, eerder"
تَرحيب,"welcome, welcoming; greeting","welkom, verwelkomend; begroeting"
تَنازُل; تَنازُلات,"backing down عن from, renouncing عن something; concession","terugdeinzen van, afstand doen van iets; concessie"
مِنبَر، مَنابِر,"pulpit, rostrum","preekstoel, spreekstoel"
عِمارة,"building, edifice, structure","gebouw, bouwwerk, constructie"
اِكتَفى,"to be content, satisfied ب with","tevreden zijn, voldaan zijn met"
مَتحَف,museum,museum
خَفيّ,"hidden, secret; unless, invisible","verborgen, geheim; tenzij onzichtbaar"
اِحتَفَظَ,"to maintain, preserve ب something; to keep, reserve ب something (لِنَفسِهِ for oneself)","behouden, behouden ب iets; bewaren, reserveren ب iets (لِنَفسِهِ voor zichzelf)"
عاطِفيّ,"emotional, sentimental; affectionate","emotioneel, sentimenteel; aanhankelijk"
عَيْن,"same, exactly the same (person, thing); self (with pronoun) itself, himself, etc","hetzelfde, precies hetzelfde (persoon, ding); zelf (met voornaamwoord) zichzelf, enz."
هو بِيَعْنِهِ,"it/him specifically, exactly","het/hem in het bijzonder, precies"
كَسَبَ، يَكسِبُ، الكَسْب,"to win, gain something; to earn, make (salary); to achieve, attain something","iets winnen, behalen; iets verdienen, een salaris krijgen; iets bereiken, iets verkrijgen"
وِزاريّ,ministerial,ministerieel
سَطْر، سُطور,"line, row","lijn, rij"
كَسْب,"winning, gaining; earning, making (salary); achieving, attaining","winnen, verkrijgen; verdienen, maken (salaris); bereiken, behalen"
أشرَفَ,"to supervise, manage على something/somebody; to overlook, provide a view of على something","toezicht houden op, beheren van iets/iemand; toezicht houden op, een blik werpen op iets"
صَدمة,"shock, blow","schok, klap"
مُحتَرَم,"honorable, respected, esteemed","eervol, gerespecteerd, gewaardeerd"
واثِق,"confident, certain, sure","zelfverzekerd, zeker, vastberaden"
مِحنة، مَحِن,"test; trial, ordeal","test; beproeving, proef"
مُتَطَوِّر,"advanced, developed; modern, sophisticated, high-tech","geavanceerd, ontwikkeld; modern, verfijnd, hightech"
تَبَع، أتباع,"follower, partisan","volgeling, partijganger"
تَبعاً ل,"according to, pursuant to","overeenkomstig, in overeenstemming met"
فاصِل,"pause, break; interlude, intermission; separating, dividing; delimiting, demarcating; conclusive, decisive","pauze, onderbreking; intermezzo, pauze; scheiden, verdelen; afbakenen, markeren; beslissend, beslissend"
مُهاجِم,"assailant, attack; striker (soccer); assailing, attacking","aanvaller, aanval; spits (voetbal); aanvallend, aanvallend"
عُصويّة,"membership, affiliation","lidmaatschap, aansluiting"
حَتْم,necessity,noodzaak
حَتماً,"definitely, necessarily","absoluut, noodzakelijk"
عَربة; عَربات,"cart, wagon; vehicle","kar, wagen; voertuig"
أمثَل، مُثلى,"better/best; more/most exemplary, more/most ideal","beter/beste; meer/meest voorbeeldig, meer/meest ideaal"
عُلبة، عُلَب,"can; case, box; pack","blik; doos, verpakking"
بادَرَ,"to begin, take the initiative ب/إلى to do something; to hasten, rush ب/إلى to do something; to come, occur to somebody spontaneously (a feeling, thought, idea)","om te beginnen, het initiatief te nemen ب/إلى iets doen; zich haasten, zich haasten ب/إلى iets doen; spontaan opkomen, bij iemand in de vergetelheid raken (een gevoel, gedachte, idee)"
حاسِم,"decisive, definitive, final; key, critical","beslissend, definitief, doorslaggevend; essentieel, cruciaal"
بَرميل,barrel; vat; drum,vat; kuip; trommel
سَباحة,swimming,zwemmen
حَوْض,"basin, sink; reservoir; aquarium","wasbak, gootsteen; reservoir; aquarium"
شَرع,law; legal,wet; juridisch
خِيانة,"treason, treachery; betrayal, infidelity","verraad, bedrog; ontrouw, verraad"
نَيْل,"attainment, achievement; acquiring, gaining","bereiken, behalen; verwerven, verkrijgen"
خالة,maternal aunt,tante van moederskant
كاذِب,"false, untrue; lying, deceitful; liar","vals, onwaar; leugenachtig, bedrieglijk; leugenaar"
كَذبة,liar,leugenaar
اِستِفتاء,"questionnaire, poll; referendum","vragenlijst, peiling; referendum"
شورى,"consultation, deliberation","overleg, beraadslaging"
مَجلِس الشّورى,Shura Council,Shura-raad
حَسّاس,sensitive,gevoelig
حَقيبة,"briefcase, portfolio; suitcase; bag","aktetas, portfolio; koffer; tas"
عُثور,"finding, discovering, coming across على something","iets vinden, ontdekken, tegenkomen على iets"
اِرتِباط,"bond, connection, relationship, link","band, verbinding, relatie, link"
تَوضيح,"explanation, clarification","uitleg, verduidelijking"
هَمَّ، يَهُمُّ، الهَمّ,"to preoccupy, concern somebody; to matter, be important to somebody; to worry, be concerned ب about something; to be about ب/بأنْ to do something","iemand bezighouden, bezorgd maken; ertoe doen, belangrijk zijn voor iemand; zich ergens zorgen over maken, ergens mee bezig zijn; ergens mee bezig zijn; iets doen"
اِستِحقاق; اِستِحقاقات,worthiness,waardigheid
اِستِحقاقات,"claims, rights, merits","aanspraken, rechten, verdiensten"
مَجمَع,assembly; academy,vergadering; academie
اِنتِقاد; اِنتِقادات,"criticism, censure","kritiek, censuur"
بَيْدَ أنّ,"although, however, (even) though","hoewel, echter, (zelfs) hoewel"
دَلالة; دَلالات,"meaning, implication, significance, important","betekenis, implicatie, significantie, belangrijk"
دَلالات,"evidence, signs","bewijs, tekenen"
صَحَّ، يَصِحُّ، الصِّحّة,"to be correct, be true; to be right, proper, appropriate (to do something)","juist zijn, waar zijn; goed, gepast, geschikt zijn (om iets te doen)"
يورو,euro,euro
تَوْعية,"informing, making aware; raising awareness, enlightening","informeren, bewustmaken; het bewustzijn vergroten, verlichten"
عَزْم,"firm will, determination (على to do something)","vastberaden wil, vastberadenheid (على iets doen)"
عاجِز,"incapable, unable عن to do something; helpless, hopeless; unable, incapacitated","onbekwaam, niet in staat om iets te doen; hulpeloos, hopeloos; niet in staat, onbekwaam"
عُطلة,"vacation, holiday, recess","vakantie, vrije dag, pauze"
قاطِح,"decisive, definitive, categorical; convincing, conclusive; interrupting, preventing; blocking; traversing (a distance); cutter (person or instrument); vendor (of tickets); incisor, canine (tooth)","beslissend, definitief, categorisch; overtuigend, doorslaggevend; onderbrekend, voorkomend; blokkerend; overbruggend (een afstand); snijder (persoon of instrument); verkoper (van kaartjes); snijtand, hoektand"
اِبتِدائيّ,"elementary, preparatory; initial","elementair, voorbereidend; initieel"
جَدَّدَ,"to renew, extend (permit); to renovate, modernize something; to renew (one’s efforts), to try again to do something","iets vernieuwen, verlengen (toestaan); iets renoveren, moderniseren; (zijn inspanningen) vernieuwen, iets opnieuw proberen"
اِستَغَلَّ,"to exploit something, take advantage of (an opportunity)","iets uitbuiten, gebruikmaken van (een kans)"
بَشَريّة,"humankind, human race","mensheid, menselijk ras"
تَحميل,downloading (files); charging somebody (with responsibility); loading (cargo),downloaden (van bestanden); iemand belasten (met verantwoordelijkheid); laden (van vracht)
مُسَجَّل,"registered, recorded","geregistreerd, vastgelegd"
هُنَّ,they (fem plural),zij (vrouwelijk meervoud)
عاقِل، عُقَلاء,"sane, rational, reasonable; sane person","gezond, rationeel, redelijk; een gezond persoon"
كُلّ عاقِلٍ,anyone in his right mind,iedereen die bij zijn volle verstand is
إلقاء,"thorwing, tossing; delivering, giving (a speech); (القَبْض على) arresting somebody","gooien, gooien; het leveren, houden van (een toespraak); (القَبْض على) arrestatie van iemand"
كَثيف,"intense, intensive, heavy; thick, dense, concentrated","intens, zwaar; dik, dicht, geconcentreerd"
كَراهيّة,"hatred, loathing; dislike, aversion","haat, afkeer; weerzin, aversie"
مُهاجِر,"emigrant; migrant; immigrant; emigrating; migrating, immigrating","emigrant; migrant; immigrant; emigrerend; migrerend, immigrerend"
مُنتَشِر,"scattered, spread out, prevalent","verspreid, uitgespreid, overheersend"
تَعَوَّدَ,"to become accustomed على to something, to get used على to something","ergens aan wennen, ergens aan gewend raken"
مُتَمَثِّل,"represented, incorporated (في in); existing, present (في in)","vertegenwoordigd, opgenomen (في in); bestaand, aanwezig (في in)"
أروَع,more/most magnificent,meer/meest magnifiek
راية,"flag, banner","vlag, banier"
أخطَر,"more/most dangerous; more/most serious, critical",gevaarlijker/meest gevaarlijk; ernstiger/meest kritiek
أكمَل,"more/most complete, more/most perfect","meer/meest compleet, meer/meest perfect"
بِأكمَلِهِ,entirely,geheel
على أكمَلِ وَجهٍ,"perfectly, to perfection; in the best possible way","perfect, tot in de perfectie; op de best mogelijke manier"
اِشتِراك,"subscription; participation, partnership","abonnement; deelname, partnerschap"
تَناقُض; تَناقُضات,contradiction; incompatibility,tegenstrijdigheid; onverenigbaarheid
مَندوب,"delegate, representative; deputy, agent","afgevaardigde, vertegenwoordiger; plaatsvervanger, agent"
صِياغة,"drafting, composing; formulation, wording","opstellen, schrijven; formulering, woordgebruik"
تَطَرُّف,"extremism, radicalism","extremisme, radicalisme"
سَكَتَ، يَسكُتُ، السُّكوت,"to be quiet, be silent","stil zijn, zwijgen"
اُسكُت,shut up!,stil!
قَذيفة، قَذائِف,"shell, bomb","granaat, bom"
بُقعة,spot; stain,vlek; vlek
بِقاع,"region, place, spot","regio, plaats, plek"
إدخال,"insertion, introduction, inclusion","invoeging, introductie, opname"
تَطَوَّرَ,"to develop, evolve, grow; to advance, make headway","Ontwikkelen, evolueren, groeien; vooruitgang boeken, stappen vooruit zetten."
اِعتَذَرَ,to apologize إلى to somebody عن for something,zich verontschuldigen إلى aan iemand عن voor iets
نِسيان,forgetfulness; oblivion,vergeetachtigheid; vergetelheid
خَمْر,"liquor, wine, alcohol","sterke drank, wijn, alcohol"
أوْقَفَ,to detain somebody; to make somebody stand,iemand vasthouden; iemand laten staan
تَخَلُّف,backwardness; underdevelopment,achterstand; onderontwikkeling
مُستَهلِك,consumer; consuming,consument; consumeren
كَلَّمَ,"to speak with, talk to somebody","met iemand praten, met iemand overleggen"
تَوْظيف,"hiring, employment, recruitment; job appointment; usage, excise","aanwerving, tewerkstelling, werving; benoeming in een functie; gebruik, accijns"
إقبال,approach; concern على for; interest على in,benadering; zorg على voor; interesse in
تَهنِئة، تَهانٍ/التَّهاني,"greetings, congratulations","Groeten, gefeliciteerd"
مُدافِع,defender; advocate; defending; advocating,verdediger; pleitbezorger; verdedigend; pleitend
تَحذير; تَحذيرات,"warning, caution","waarschuwing, voorzichtigheid"
الآخِرة,the afterlife,het hiernamaals
هُروب,"escaping, fleeing; deserting","ontsnappen, vluchten; deserteren"
اِستَعَدَّ,"to get ready, prepare ل for something","zich klaarmaken, voorbereiden op iets"
جَواز,"permit, authorization","vergunning, toestemming"
جَواز السَّفْر,passport,paspoort
مُعلَن,"declared, announced; posted, made public","verklaard, aangekondigd; gepubliceerd, openbaar gemaakt"
هَدَأَ، يَهدَأُ، الهُدوء,"to subside, abate (storm, noise); to calm down, quiet down","afnemen, verminderen (storm, lawaai); kalmeren, tot rust komen"
قَطُّ,"(not) at all, never; nothing, no one","(niet) helemaal niet, nooit; niets, niemand"
مَطبَخ,kitchen,keuken
رِزْق,"livelihood, sustenance; food, daily bread","levensonderhoud, levensonderhoud; voedsel, dagelijks brood"
اِحتَمَلَ,"to tolerate, put up with somebody/something; to expect something","tolereren, verdragen; iets verwachten"
يُحتَمَلُ أنْ,it is likely that,het is waarschijnlijk dat
طارِئ,"emergency (situation); exceptional (conditions); unscheduled, special (meeting)","noodsituatie; uitzonderlijke omstandigheden; ongeplande, speciale bijeenkomst"
اِعتَرَضَ,"to object, be opposed على to something","bezwaar maken, zich verzetten tegen iets (على)"
حِرمان,"deprivation, prohibition","ontneming, verbod"
سَرَقَ، يَسرِقُ، السِّرقة,to steal something,iets stelen
عار,"shame, disgrace, scandal","schaamte, vernedering, schandaal"
سُمعة,reputation,reputatie
مَلحوظ,"noticeable, observable; remarkable, significant","merkbaar, waarneembaar; opmerkelijk, significant"
آنَ، يَؤْونُ، الأْوْن,"to come, arrive, approach (of time)","komen, aankomen, naderen (van tijd)"
"فاكِهة, فَواكِه",fruit,fruit
مُراعاة,"deference, respect; compliance, observance; watching out for","eerbied, respect; naleving, in acht nemen; opletten voor"
غَلَبَ، يَغلِتُ، الغَلْب,"to defeat, overcome على something/somebody","verslaan, overwinnen على iets/iemand"
تَعادُل,"balance, equilibrium; (sports) tie","evenwicht, balans; (sport) gelijkspel"
اِستِهلاك,"consuming, consumption (of consumer goods); exhaustion, depletion (of resources)","verbruik, consumptie (van consumptiegoederen); uitputting, afname (van hulpbronnen)"
عُمود، أعْمِدة,"column, pillar","kolom, pilaar"
سينَمائيّ,"cinema, cinematographic","film, cinematografisch"
بارِحة,yesterday,gisteren
عادَلَ,to be equal to something; to make equal to something; (sports) to tie somebody,gelijk zijn aan iets; gelijk maken aan iets; (sport) iemand vastbinden
سِجِلّ; سِجِلّات,"register; archive, record","register; archief, registratie"
اِنتَقَدَ,to criticize somebody/something,iemand/iets bekritiseren
بورصة,"stock exchange, bourse","beurs, aandelenbeurs"
مَوْهِبة، مَواهِب,"talent, gift","talent, gave"
اِستِقالة,resignation,ontslag
مَخرَج,"exit, outlet; escape, way out, solution","uitgang, uitweg; ontsnapping, weg naar buiten, oplossing"
سالَ، يَسيلُ، السَّيْل,"to flow, run; to leak; to melt","stromen, lopen; lekken; smelten"
قَفَزَ، يَقفِزُ، القَفْز,"to jump, leap","springen, huppen"
كِفاية,"sufficiency, adequacy; performance, productivity; competence","voldoende, toereikendheid; prestatie, productiviteit; competentie"
تَوَسُّع,expansion,uitbreiding
عَقيد,colonel,kolonel
مُعطىً,given,gegeven
مُعطَيات,"facts, data, factors","feiten, gegevens, factoren"
زَوْجيّ,"marital; paired, coupled","huwelijks; gepaard, gekoppeld"
شَجَّعَ,"to encourage, promote, support somebody/something","iemand/iets aanmoedigen, promoten, ondersteunen"
حَيّا,"to greet, salute somebody; to prise, laud somebody","iemand begroeten, salueren; iemand prijzen, aanmoedigen"
حَيّاك الله,Good for you! Well done!,Goed zo! Bravo!
خَريف,"autumn, fall","herfst, najaar"
جُمهوريّ,republican; Republican,republikein; Republikein
السلام الجُمهوريّ,the national anthem,het volkslied
عَرَض، أعراض,symptom,symptoom
أعراض جانِبيّة,side effects,bijwerkingen
تَوالٍ/التّوالي,consecutive or continuous succession,opeenvolgende of ononderbroken opeenvolging
حِزبيّ,"party-related; partisan, factional","partijgebonden; partijpolitiek, factiegebonden"
حَبْل,"rope, cord, cable","touw, koord, kabel"
تَوَقُّع; تَوَقُّعات,"expectation, anticipation; forecast","verwachting, anticipatie; voorspelling"
تَرشيع,"nomination, candidacy","nominatie, kandidatuur"
قَيِّم,"valuable, responsible (على for)","waardevol, verantwoordelijk (على voor)"
راضٍ/الرّاضي,"pleased, satisfied; accepting, consenting","tevreden, voldaan; accepterend, instemmend"
كُفْر,"kufr (rejection of the Islamic faith), unbelief, apostasy","kufr (verwerping van het islamitische geloof), ongeloof, afvalligheid"
مُصطَلَح; مُصطَلَحات,technical term,technische term
مُصطَلَحات,terminology,terminologie
مَهشة,"surprise, astonishment; bewilderment, confusion","verbazing, verwondering; verbijstering, verwarring"
مَسْح,"survey, measure; wiping off; sweeping","opmeten, meten; afvegen; vegen"
أسىً,"affliction, sorrow, grief","ellende, verdriet, rouw"
ظُلمة; ظُلمات,darkness,duisternis
زُجاج,glass,glas
زُجاج أماميّ,windshield,voorruit
رَعى، يَرعي، الرَّعي,"to graze, take out to pasture (sheep); to care for, protect somebody; to sponsor, promote somebody/something; to safeguard, look after (somebody’s affairs)","schapen laten grazen, naar de wei brengen; voor iemand zorgen, iemand beschermen; iemand sponsoren, iemand/iets promoten; iemands zaken behartigen, beschermen."
جُلوس,"sitting down, being seated","gaan zitten, plaatsnemen"
اِستِعمار,colonialism; building of settlements,kolonialisme; de ​​bouw van nederzettingen
مُخالِف,"divergent; against (the law); transgressor, offender","afwijkend; in strijd met (de wet); overtreder, dader"
أغلى,more/most expensive,duurder/duurste
مَضمون,"(noun) content; guaranteed, insured","(zelfstandig naamwoord) inhoud; gegarandeerd, verzekerd"
خُطبة، خُطَب,speech; sermon,toespraak; preek
حَظْر,"prohibition, ban; embargo","verbod, ban; embargo"
اِقتِراب,"approach, approximation; getting near","benadering, invalshoek; dichterbij komen"
راقي,"rising, ascending; advanced; fancy, high-class","stijgend, opstijgend; geavanceerd; chique, hoogwaardig"
ذَكاء,"intelligence, cleverness","intelligentie, slimheid"
عُنصُريّ,racist,racist
نَبيل,noble,edele
وُدِّيّ,"friendly, cordial, amicable, warm","vriendelijk, hartelijk, beminnelijk, warm"
جَحيم,"hell, inferno","hel, inferno"
نُزول,"descent; reduction, losing (weight); resignation, stepping down","afdaling; vermindering, gewichtsverlies; ontslag, aftreden"
اِنقَلَبَ,"to turn around; to turn over; to be reversed, be inverted","Omdraaien; omkeren; omgekeerd zijn, gespiegeld zijn"
اِحتَرَمَ,"to respect, revere somebody/something","iemand/iets respecteren, vereren"
فَضائيّة; فَضائيّات,satellite (broadcasting) station,satelliet (zend)station
مَمنوع,"forbidden, prohibited, banned","verboden, verboden, gebanned"
مُحَقِّق,investigator; editor; investigating,onderzoeker; redacteur; onderzoek
قِياديّ,"leading, guiding; commanding; commander","leidinggeven, sturen; bevelen; bevelhebber"
أنتَجَ,"to produce, create, yield something; to cause, result in something","iets produceren, creëren, opleveren; iets veroorzaken, tot iets leiden"
رَكِبَ، يَركَبُ، الرُّكوب,"to get in/on (vehicle), board (ship, airplane), mount (horse, bicycle)","instappen (voertuig), aan boord gaan (schip, vliegtuig), opstijgen (paard, fiets)"
رَقْص,"dance, dancing","dansen, dansen"
حَزَج,impediment; objection,belemmering; bezwaar
شَجاعة,courage,moed
تَوَلٍّ/التَّوَلي,"taking charge, assuming responsibility","De leiding nemen, verantwoordelijkheid dragen"
كَفيل,"guaranteeing, ensuring (ب something); guarantor, sponsor, (person) responsible","garanderen, verzekeren (iets); garant, sponsor, (persoon) verantwoordelijk"
كَبِد,"liver (organ); center, middle","lever (orgaan); midden, centrum"
عِزّة,"glory, honor; power","glorie, eer; macht"
عِزّة النَّفْس,self esteem,zelfvertrouwen
تَسويق,marketing,marketing
خَشَبة; خَشَبات,piece of wood; board or plank,stuk hout; plank of balk
خَشَبة المَسرَح,(theater) stage,(theater) podium
خَشَبات الجول,goalpost,doelpaal
سَمّ، سُموم,"poison, toxin","gif, toxine"
فاضَ، يَفيضُ، الفَيْض,"to overflow; to exceed, go beyond عن something","overlopen; overschrijden, verder gaan dan iets"
مُستَخدِم,"employing, using; user","in dienst nemen, gebruiken; gebruiker"
مَنطِقيّ,"logical, rational","logisch, rationeel"
فَضيحة,"scandal; disgrace, shame","schandaal; schande, vernedering"
يا تُرى,"perhaps, maybe, I wonder...","misschien, wellicht, vraag ik me af..."
أخلاقيّ,"moral, ethical","moreel, ethisch"
لَزِمَ، يَلزَمُ، اللُّزوم,to be necessary (على for somebody) to do something; to cling to,noodzakelijk zijn (على voor iemand) om iets te doen; zich vastklampen aan
لَزِمَ الصَّمْت,to keep quiet,stil blijven
لَزِمَ الفِراش,to stay in bed,in bed blijven
غَرِقَ، يَغرَقُ، الغَرَق,"to sink, drown, be submerged","zinken, verdrinken, ondergedompeld worden"
سوفييتيّ,Soviet,Sovjet
تَأَمَّلَ,"to reflect on, ponder (في) something","om over iets na te denken, erover te peinzen (في) iets"
حِيال,"concerning, regarding","betreffende, met betrekking tot"
تَصَرَّفَ,"to act, behave, proceed (في/مع with somebody/something; وكَأَنَّ as if)","handelen, gedragen, doorgaan (في/مع met iemand/iets; وكَأَنَّ alsof)"
بائِع,selling,verkopen
باعة,"selling, vendor; merchant","verkoper, handelaar; koopman"
إحياء,"reviving, enlivening; celebrating (anniversary); commemorating","nieuw leven inblazen, verlevendigen; vieren (jubileum); herdenken"
إحياءً لِذِكرى,in memory of,ter nagedachtenis aan
دافِئ,warm,warm
قِطّ، قِطَط,cat,kat
بَراءة,innocence; acquittal,onschuld; vrijspraak
بَراءة اِختِراع,(invention) patent,(uitvinding) octrooi
ذُلّ,"humiliation, dishonor","vernedering, oneer"
حُجرة، حُجَر,"room, chamber; compartment, enclosure; (bio) cell","ruimte, kamer; compartiment, behuizing; (bio)cel"
مُحتَلّ,"occupier; occupying, occupation (forces)","bezetter; bezettend, bezetting (troepen)"
مَبنيّ,"built, based (على on)","gebouwd, gebaseerd (على op)"
تَجَنُّب,"avoidance, avoiding","vermijding, vermijden"
كَذَبَ، يَكذِبُ، الكِذْب,to lie (على to somebody),liegen (على tegen iemand)
مَنشور; مَنشورات,"publication; brochure; published, posted (on the Web)","publicatie; brochure; gepubliceerd, geplaatst (op het web)"
خاضَ، يَخوضُ، الخَوْض,"to wage (war, battle) ضِدّ against; to embark on (a campaign); to wade في into (water); to plunge, dive في into (an issue)","oorlog voeren (oorlog, strijd) ضِدّ tegen; een campagne beginnen; het water in waden في; zich in een kwestie storten, erin duiken في"
تَعَدّى,"to exceed, go beyond; to infringe على on (somebody’s rights)","overschrijden, verder gaan dan; inbreuk maken op (iemands rechten)"
دَبّابة; دَبّابات,tank,tank
رَوْضة، رِياض,garden,tuin
رَوْضة الأطفال,kindergarten,kleuterschool
صُمود,"steadfastness, determination","standvastigheid, vastberadenheid"
مَضبوط,"controlled, regulated; accurate, precise","gecontroleerd, gereguleerd; nauwkeurig, precies"
نَبْض,"beating, palpitation, throbbing","kloppen, hartkloppingen, bonzen"
عُموميّ,"general, public, common; plenary","algemeen, openbaar, gemeenschappelijk; plenair"
قَدِمَ، يَقدِمُ، القُدوم,"to arrive, come إلى to; approach على something","om aan te komen, kom إلى naar; naderen على iets"
عُنْق,"neck (person, bottle)","hals (persoon, fles)"
مُهتَمّ,"interested, concerned; (person, party) interested, concerned","geïnteresseerd, betrokken; (persoon, partij) geïnteresseerd, betrokken"
عِيان,"eyesight, (plain) view","gezichtsvermogen, (gewoon) zicht"
شاهِد عِيان,eyewitness,ooggetuige
مُكَرَّم,"honored, revered","geëerd, vereerd"
اِنتِماء,"membership, affiliation; commitment","lidmaatschap, aansluiting; verbintenis"
قَطرة; قَطرات,drop,druppel
نَوى، يَنوي، النَّوْى,"to intend, want (to do something)","van plan zijn, willen (iets doen)"
تَركيب,"installation, assembling; structure, construction","installatie, montage; structuur, constructie"
مُرّ,bitter,bitter
أنكَرَ,"to deny, dispute (claim)","ontkennen, betwisten (bewering)"
مِشوار,"walk, stroll, promenade","wandelen, slenteren, promenade"
اِستَعرَضَ,"to review, go over something; (military.) to review (troops); to tour (facilities)","iets herzien, doornemen; (militair) troepen inspecteren; faciliteiten bezichtigen"
مُرتَفَع,"height, altitude, elevation; highlands","hoogte, altitude, elevation; hooglanden"
أولِمبيّ,Olympic,Olympisch
أوْحى,"to suggest, imply, indicate بِأنَّ that; to inspire ل somebody ب to do something","suggereren, impliceren, aangeven بِأنَّ dat; inspireren ل iemand ب om iets te doen"
خَجَل,"shame, bashfulness, shyness","schaamte, verlegenheid, schuchterheid"
حَديديّ,"(adjective) iron, iron-like","(bijvoeglijk naamwoord) ijzer, ijzerachtig"
تَصحيح,correction,correctie
تَبَنٍّ/التَّبَنّي,adoption,adoptie
زَرَعَ، يَزرَعُ، الزَّرْع,"to plant (seed); to implant, transplant (organ); to set (bomb), lay (mines); to grow (plants, crops); to cultivate, farm (land)","(Zaad) planten; (orgaan) implanteren, transplanteren; (bom) plaatsen, (mijnen) leggen; (planten, gewassen) laten groeien; (land) bewerken, bewerken"
مُلائِم,"suitable, appropriate","geschikt, passend"
فَضيلة,"virtue; (in titles) فَضيلة الشَّيْخ His Eminence, the Sheikh","deugd; (in titels) فَضيلة الشَّيْخ Zijne Eminentie, de Sheikh"
مُنَوَّر,illuminate; honored,verlichten; geëerd
مُشاهِد,"viewer, spectator","kijker, toeschouwer"
مَعبَر، مَعابِر,"crossig point, juncture","kruispunt, knooppunt"
أخطَأَ,"to be wrong, make a mistake (في in doing something); to do (في something) incorrectly","Het mis hebben, een fout maken (في bij het doen van iets); iets (في) verkeerd doen."
أسَد، أُسود,lion,leeuw
